# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_12599	LOCUS_095420	sequence02523:77..1069(+)	partial			WP_010919211.1	electron transfer flavoprotein-ubiquinone oxidoreductase	60.6	36.7	61.0
MGA_12602	LOCUS_095430	sequence02524:1077..>1798(-)	partial			WP_014329252.1	energy transducer TonB	61.1	49.3	25.8
MGA_12608	LOCUS_095460	sequence02526:759..>1797(-)	partial			WP_005786936.1	DUF5686 and carboxypeptidase-like regulatory domain-containing protein	98.8	41.7	29.1
MGA_12615	LOCUS_095500	sequence02529:1085..1243(-)	frameshift		1476	WP_011267275.1	benzoate/H(+) symporter BenE family transporter	75.0	9.8	66.7
MGA_12620	LOCUS_095510	sequence02531:359..781(-)	partial			WP_013532244.1	transcription antitermination factor NusB	72.9	60.8	40.2
MGA_12633	LOCUS_095580	sequence02534:1222..1632(-)	partial			WP_162493764.1	P-type conjugative transfer protein VirB9	100.0	47.9	43.8
MGA_12638	LOCUS_095610	sequence02535:1175..1792(-)	partial			WP_012640443.1	alpha/beta hydrolase	95.1	63.8	41.8
MGA_12642	LOCUS_095630	sequence02537:52..1113(+)	internal_stop_codon	1111..1113(+)		WP_010918343.1	alkaline phosphatase	99.7	62.8	58.7
MGA_12643	LOCUS_095640	sequence02537:1150..1734(+)	internal_stop_codon	1111..1113(+)		WP_010918343.1	alkaline phosphatase	96.4	33.3	52.1
MGA_12646	LOCUS_095650	sequence02538:173..1675(+)	partial			WP_011088814.1	alpha/beta fold hydrolase	67.6	55.1	63.3
MGA_12648	LOCUS_095660	sequence02539:<1..537(+)	partial			WP_011393167.1	thioredoxin domain-containing protein	87.1	22.2	31.7
MGA_12672	LOCUS_095780	sequence02547:203..880(+)	partial			WP_014626366.1	RNA polymerase sigma factor	62.2	77.8	32.7
MGA_12675	LOCUS_095790	sequence02548:258..833(-)	partial			WP_009561581.1	RNase adapter RapZ	90.6	55.6	43.4
MGA_12677	LOCUS_095810	sequence02548:1360..1710(-)	partial			WP_011391170.1	stimulus-sensing domain-containing protein	63.8	13.7	48.1
MGA_12682	LOCUS_095840	sequence02550:<1..850(+)	partial			WP_038966435.1	fused MFS/spermidine synthase	96.1	35.8	36.9
MGA_12688	LOCUS_095870	sequence02552:1013..1432(+)	frameshift		1327	WP_109809675.1	IS5 family transposase	77.7	42.6	76.1
MGA_12689	LOCUS_095880	sequence02552:1498..1779(+)	frameshift		1342	WP_063921609.1	IS5 family transposase	98.9	36.4	69.6
MGA_12702	LOCUS_095930	sequence02557:551..733(-)	frameshift		750	WP_010919761.1	anthranilate synthase component I	83.3	9.7	70.0
MGA_12703	LOCUS_095940	sequence02557:712..>1788(-)	frameshift		750	WP_010920790.1	aminodeoxychorismate synthase, component I	96.1	62.8	51.7
MGA_12710	LOCUS_096000	sequence02560:<1..1193(+)	internal_stop_codon	1191..1193(+)		WP_012257900.1	propionyl-CoA carboxylase	95.5	70.7	60.8
MGA_12713	LOCUS_096010	sequence02561:859..>1786(-)	partial			WP_012640670.1	amino acid permease	96.4	67.8	36.1
MGA_12722	LOCUS_096040	sequence02566:64..573(+)	partial			WP_012640397.1	flagellar motor switch protein FliM	96.4	43.6	76.1
MGA_12729	LOCUS_096070	sequence02568:108..839(-)	internal_stop_codon	108..110(-)		WP_011038543.1	nicotinate phosphoribosyltransferase	98.4	50.6	55.2
MGA_12734	LOCUS_096090	sequence02570:778..>1784(-)	partial			WP_013531266.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	68.0	28.9	89.9
MGA_12744	LOCUS_096110	sequence02575:706..1020(-)	partial			WP_010919232.1	5-aminolevulinate synthase	89.4	22.8	60.2
MGA_12745	LOCUS_096120	sequence02575:1180..1386(+)	partial			WP_013528109.1	UDP-glucose/GDP-mannose dehydrogenase family protein	85.3	13.1	62.1
MGA_12752	LOCUS_096150	sequence02578:2..997(+)	partial			WP_010917924.1	polyribonucleotide nucleotidyltransferase	78.9	36.7	72.8
MGA_12756	LOCUS_096180	sequence02580:7..363(-)	partial			WP_014626221.1	hypothetical protein	62.7	73.3	45.9
MGA_12759	LOCUS_096190	sequence02582:17..481(-)	partial			WP_010973273.1	Tol-Pal system beta propeller repeat protein TolB	81.8	28.0	53.2
MGA_12762	LOCUS_096210	sequence02583:<1..1116(+)	partial			WP_005055595.1	elongation factor G	98.9	52.6	54.8
MGA_12770	LOCUS_096260	sequence02585:766..1302(+)	partial			WP_063173662.1	patatin family protein	88.8	48.9	55.1
MGA_12778	LOCUS_096310	sequence02588:201..683(-)	internal_stop_codon	201..203(-)		WP_011962750.1	glycosyltransferase family 2 protein	100.0	40.5	45.6
MGA_12785	LOCUS_096350	sequence02590:910..>1776(-)	partial			WP_012640463.1	long-chain-acyl-CoA synthetase	100.0	48.2	66.0
MGA_12788	LOCUS_096380	sequence02592:<1..1074(+)	partial			WP_011088216.1	type I secretion system permease/ATPase	57.4	27.7	34.9
MGA_12789	LOCUS_096390	sequence02592:1135..>1775(-)	partial			WP_010920991.1	response regulator	46.2	55.0	48.5
MGA_12794	LOCUS_096420	sequence02595:<1..704(+)	partial			WP_013531931.1	PleD family two-component system response regulator	94.4	48.8	43.5
MGA_12797	LOCUS_096440	sequence02596:1038..>1774(-)	partial			WP_010919427.1	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	64.8	21.2	49.1
MGA_12803	LOCUS_096480	sequence02598:652..1533(-)	frameshift		1304,1532,1310,1268	WP_010921330.1	PepSY domain-containing protein	94.9	64.9	28.8
MGA_12816	LOCUS_096540	sequence02603:14..667(-)	internal_stop_codon	671..673(-)		WP_011963204.1	adenine deaminase	97.7	38.5	59.9
MGA_12817	LOCUS_096550	sequence02603:671..1207(-)	internal_stop_codon	671..673(-)		WP_011963204.1	adenine deaminase	94.9	31.3	71.6
MGA_12821	LOCUS_096560	sequence02605:396..980(-)	partial			WP_011402885.1	cytochrome c peroxidase	99.5	56.4	43.2
MGA_12826	LOCUS_096570	sequence02607:164..424(+)	partial			WP_001223578.1	TetR/AcrR family transcriptional regulator	69.8	28.4	40.0
MGA_12833	LOCUS_096610	sequence02609:<1..591(+)	partial			WP_075293048.1	3-keto-5-aminohexanoate cleavage protein	75.0	50.5	40.1
MGA_12840	LOCUS_096640	sequence02611:1014..>1770(-)	partial			WP_050983979.1	phosphomannomutase/phosphoglucomutase	96.8	46.9	64.6
MGA_12847	LOCUS_096670	sequence02614:278..778(-)	partial			WP_010967687.1	type IV secretion system protein VirB10	98.2	42.6	56.6
MGA_12848	LOCUS_096680	sequence02614:834..1439(-)	partial			WP_000105162.1	site-specific DNA-methyltransferase	88.6	32.8	64.0
MGA_12856	LOCUS_096710	sequence02619:1..1041(+)	partial			WP_004187933.1	LuxR C-terminal-related transcriptional regulator	34.1	12.3	38.1
MGA_12867	LOCUS_096760	sequence02622:1469..1738(+)	partial			WP_013528466.1	cation diffusion facilitator family transporter	84.3	23.4	54.7
MGA_12868	LOCUS_096770	sequence02623:<1..1444(+)	partial			WP_010917898.1	chromosomal replication initiator protein DnaA	55.2	54.1	72.8
MGA_12872	LOCUS_096790	sequence02624:614..1252(+)	partial			WP_046463959.1	site-specific integrase	96.2	56.8	32.1
MGA_12879	LOCUS_096840	sequence02626:1247..>1766(-)	partial			WP_011337963.1	flagellar type III secretion system pore protein FliP	98.3	56.1	55.0
MGA_12884	LOCUS_096860	sequence02628:1257..1538(+)	internal_stop_codon	1536..1538(+)		WP_010918878.1	peptide-methionine (S)-S-oxide reductase MsrA	100.0	42.9	67.7
MGA_12890	LOCUS_096880	sequence02630:488..1723(-)	partial			WP_011963036.1	CusA/CzcA family heavy metal efflux RND transporter	99.0	27.4	27.8
MGA_12893	LOCUS_096900	sequence02632:392..1363(-)	partial			WP_003978098.1	lactate 2-monooxygenase	61.6	40.4	39.1
MGA_12894	LOCUS_096910	sequence02632:1468..1758(+)	partial			WP_013531445.1	RluA family pseudouridine synthase	69.8	20.6	67.2
MGA_12896	LOCUS_096920	sequence02633:<1..653(+)	partial			WP_011389171.1	alkyl hydroperoxide reductase subunit F	99.5	40.9	78.1
MGA_12904	LOCUS_096940	sequence02636:320..655(+)	partial			WP_024265694.1	PepSY domain-containing protein	67.6	67.3	42.1
MGA_12909	LOCUS_096970	sequence02637:42..1664(-)	partial			WP_013528943.1	ABC transporter ATP-binding protein	53.9	81.5	55.7
MGA_12917	LOCUS_097010	sequence02643:<1..541(+)	partial			WP_002722648.1	protein translocase subunit SecD	82.1	26.5	53.1
MGA_12918	LOCUS_097020	sequence02643:568..1215(+)	partial			WP_010919854.1	urate hydroxylase PuuD	73.0	76.5	60.0
MGA_12922	LOCUS_097040	sequence02644:640..>1758(-)	partial			WP_010918571.1	chaperonin GroEL	59.7	40.6	91.0
MGA_12930	LOCUS_097080	sequence02647:<1..809(+)	partial			WP_013529018.1	pilus assembly protein	70.1	38.6	42.6
MGA_12931	LOCUS_097090	sequence02647:1179..>1758(-)	partial			WP_010921410.1	acetate--CoA ligase	97.4	28.9	82.4
MGA_12939	LOCUS_097120	sequence02651:<1..545(+)	partial			WP_004526112.1	glycosyltransferase family 1 protein	94.4	41.3	41.5
MGA_12949	LOCUS_097160	sequence02655:375..716(+)	partial			WP_063921431.1	enoyl-CoA hydratase-related protein	100.0	44.0	48.7
MGA_12953	LOCUS_097190	sequence02656:1005..1439(-)	partial			WP_010919687.1	MBL fold metallo-hydrolase	74.3	39.9	57.9
MGA_12961	LOCUS_097220	sequence02661:<1..1142(+)	partial			WP_011037900.1	TonB-dependent siderophore receptor	98.7	46.4	44.6
MGA_12962	LOCUS_097230	sequence02661:1202..1585(+)	internal_stop_codon	1583..1585(+)		WP_004528491.1	Fe2+-dependent dioxygenase	100.0	55.9	53.5
MGA_12974	LOCUS_097290	sequence02665:867..1511(+)	partial			WP_010918693.1	efflux RND transporter periplasmic adaptor subunit	70.6	39.7	41.9
MGA_12979	LOCUS_097310	sequence02669:1167..1490(-)	internal_stop_codon	1584..1586(-)		WP_012066934.1	N-formylglutamate amidohydrolase	87.9	32.1	52.1
MGA_12983	LOCUS_097330	sequence02670:637..957(+)	partial			WP_010969755.1	N-acetylmuramoyl-L-alanine amidase	77.4	31.2	65.9
MGA_12985	LOCUS_097340	sequence02671:<1..1196(+)	partial			WP_010968521.1	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	99.7	64.2	68.2
MGA_12992	LOCUS_097370	sequence02673:1334..1567(-)	partial			WP_010919229.1	enoyl-CoA hydratase/isomerase family protein	77.9	19.1	50.7
MGA_12996	LOCUS_097390	sequence02675:64..813(+)	partial			WP_011086958.1	glycerophosphodiester phosphodiesterase family protein	97.6	69.7	56.0
MGA_12997	LOCUS_097400	sequence02675:915..1376(+)	partial			WP_011267940.1	MDR family oxidoreductase	56.9	26.6	62.1
MGA_13011	LOCUS_097460	sequence02679:126..656(+)	partial			WP_014329550.1	YdcF family protein	89.2	68.6	37.7
MGA_13014	LOCUS_097480	sequence02680:<1..1643(+)	partial			WP_010917969.1	acyl-CoA dehydrogenase C-terminal domain-containing protein	50.4	46.7	67.7
MGA_13015	LOCUS_097490	sequence02681:<1..976(+)	partial			WP_012067269.1	multidrug effflux MFS transporter	93.2	73.3	46.4
MGA_13016	LOCUS_097500	sequence02681:987..1238(-)	partial			WP_013528988.1	carbonic anhydrase	98.8	38.3	78.0
MGA_13024	LOCUS_097530	sequence02685:59..868(+)	partial			WP_013533676.1	M17 family metallopeptidase	96.7	57.3	58.1
MGA_13029	LOCUS_097560	sequence02686:829..1740(+)	partial			WP_010919710.1	transcription-repair coupling factor	47.2	12.6	40.7
MGA_13030	LOCUS_097570	sequence02687:2..832(+)	partial			WP_010918653.1	membrane protein insertase YidC	93.5	41.5	72.1
MGA_13037	LOCUS_097610	sequence02689:1428..1586(+)	internal_stop_codon	1584..1586(+)		WP_010973951.1	3-oxoadipyl-CoA thiolase	86.5	11.2	84.4
MGA_13058	LOCUS_097710	sequence02697:1234..>1746(-)	partial			WP_038967414.1	aldo/keto reductase	99.4	50.8	53.3
MGA_13068	LOCUS_097770	sequence02701:369..>1745(-)	partial			WP_011392647.1	glycosyltransferase family 4 protein	60.7	72.9	38.5
MGA_13072	LOCUS_097790	sequence02703:<1..1088(+)	partial			WP_063921433.1	DNA polymerase Y family protein	83.9	57.2	38.1
MGA_13079	LOCUS_097810	sequence02706:214..891(-)	internal_stop_codon	898..900(-)		WP_005111913.1	mannose-6-phosphate isomerase, class I	97.3	53.6	34.4
MGA_13080	LOCUS_097820	sequence02706:898..1434(-)	internal_stop_codon	898..900(-)		WP_001170701.1	mannose-6-phosphate isomerase	88.8	40.4	43.7
MGA_13083	LOCUS_097830	sequence02707:129..338(+)	frameshift		81	WP_024503471.1	Fur family transcriptional regulator	97.1	46.9	68.7
MGA_13085	LOCUS_097850	sequence02707:1077..1661(+)	internal_stop_codon	1659..1661(+)		WP_013527881.1	D-glycerate dehydrogenase	100.0	58.3	87.6
MGA_13093	LOCUS_097900	sequence02710:131..886(+)	frameshift,internal_stop_codon	119..121(+),107..109(+)	826	WP_011039197.1	glycerol-3-phosphate 1-O-acyltransferase PlsB	95.2	26.8	57.7
MGA_13101	LOCUS_097950	sequence02713:349..>1742(-)	partial			WP_011035290.1	glutamate synthase large subunit	65.9	20.5	55.8
MGA_13104	LOCUS_097960	sequence02715:97..1386(-)	partial			WP_013531189.1	VWA domain-containing protein	98.6	59.8	57.5
MGA_13106	LOCUS_097970	sequence02716:72..803(-)	internal_stop_codon	72..74(-)		WP_013528297.1	acetate--CoA ligase family protein	96.7	33.8	74.5
MGA_13114	LOCUS_098030	sequence02718:1120..>1741(-)	partial			WP_010918281.1	acetolactate synthase large subunit	98.5	39.8	53.4
MGA_13115	LOCUS_098040	sequence02719:<1..1635(+)	partial			WP_011024461.1	DUF2341 domain-containing protein	71.3	13.1	31.0
MGA_13126	LOCUS_098070	sequence02725:692..1297(+)	partial			WP_028174210.1	TetR/AcrR family transcriptional regulator	70.1	64.9	27.8
MGA_13131	LOCUS_098100	sequence02727:<1..1578(+)	partial			WP_010918587.1	isoleucine--tRNA ligase	91.6	50.3	52.0
MGA_13140	LOCUS_098140	sequence02730:<1..761(+)	partial			WP_010967780.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	77.0	25.8	64.4
MGA_13144	LOCUS_098150	sequence02732:30..554(-)	partial			WP_011037128.1	tRNA 2-thiouridine(34) synthase MnmA	69.0	31.5	67.5
MGA_13164	LOCUS_098280	sequence02739:1076..>1736(-)	partial			WP_010974798.1	DUF3991 and toprim domain-containing protein	42.5	25.9	61.3
MGA_13172	LOCUS_098330	sequence02742:301..1599(-)	internal_stop_codon	1651..1653(-)		WP_010918194.1	ABC transporter ATP-binding protein	72.5	52.9	36.7
MGA_13175	LOCUS_098350	sequence02743:1080..1457(-)	partial			WP_146729243.1	DoxX family protein	64.0	57.8	37.5
MGA_13183	LOCUS_098390	sequence02746:963..>1735(-)	partial			WP_013529386.1	homoserine O-acetyltransferase	70.3	47.0	62.8
MGA_13184	LOCUS_098400	sequence02747:<1..663(+)	partial			WP_011087185.1	OpgC domain-containing protein	89.1	50.3	54.1
MGA_13191	LOCUS_098440	sequence02749:934..>1734(-)	partial			WP_020487294.1	ABC transporter ATP-binding protein	97.7	70.5	66.2
MGA_13192	LOCUS_098450	sequence02750:2..907(+)	partial			WP_013529003.1	translational GTPase TypA	100.0	49.6	91.4
MGA_13197	LOCUS_098480	sequence02752:<1..748(+)	partial			WP_011404617.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	94.0	56.7	50.9
MGA_13198	LOCUS_098490	sequence02752:800..>1733(-)	partial			WP_010871155.1	alpha-glucan family phosphorylase	99.7	57.0	43.8
MGA_13199	LOCUS_098500	sequence02753:4..1611(-)	partial			WP_011141757.1	cation:proton antiporter	50.1	62.0	45.6
MGA_13200	LOCUS_098510	sequence02754:<1..866(+)	partial			WP_013529488.1	ABC transporter substrate-binding protein	75.6	40.5	86.6
MGA_13201	LOCUS_098520	sequence02754:788..1642(-)	partial			WP_012296575.1	pyruvate kinase	77.1	46.4	79.9
MGA_13203	LOCUS_098530	sequence02755:86..577(-)	partial			WP_011036609.1	glutathione S-transferase family protein	83.4	64.0	33.1
MGA_13224	LOCUS_098660	sequence02761:641..1327(-)	partial			WP_011035868.1	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	92.5	44.8	45.5
MGA_13247	LOCUS_098750	sequence02771:363..1556(+)	internal_stop_codon	1554..1556(+)		WP_091398313.1	S8 family serine peptidase	99.5	19.7	41.9
MGA_13257	LOCUS_098800	sequence02774:<1..836(+)	partial			WP_051618874.1	amidase	97.8	56.4	37.8
MGA_13261	LOCUS_098820	sequence02775:520..1218(+)	partial			WP_011338678.1	malonyl-CoA synthase	47.0	21.8	53.2
MGA_13265	LOCUS_098850	sequence02776:964..1614(-)	partial			WP_010921325.1	cation:proton antiporter	87.5	32.2	48.2
MGA_13271	LOCUS_098870	sequence02778:578..>1727(-)	partial			WP_011963312.1	DNA-directed RNA polymerase subunit beta	99.5	30.0	67.5
MGA_13273	LOCUS_098880	sequence02779:199..705(-)	partial			WP_011087256.1	CinA family protein	86.9	72.3	54.8
MGA_13275	LOCUS_098900	sequence02779:864..1193(-)	internal_stop_codon	864..866(-)		WP_014537662.1	phosphatidylglycerophosphatase A	69.7	45.2	47.4
MGA_13276	LOCUS_098910	sequence02779:1190..>1727(-)	partial			WP_013531491.1	bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	99.4	44.0	62.2
MGA_13283	LOCUS_098940	sequence02782:164..700(+)	partial			WP_003531444.1	VWA domain-containing protein	92.7	38.3	58.8
MGA_13285	LOCUS_098960	sequence02782:1024..1707(+)	frameshift		1024	WP_017140080.1	XdhC family protein	93.8	62.8	52.1
MGA_13286	LOCUS_098970	sequence02783:<1..522(+)	partial			WP_010921558.1	endonuclease III	95.4	68.5	69.7
MGA_13289	LOCUS_098990	sequence02784:96..614(-)	partial			WP_010918802.1	pyridoxamine 5'-phosphate oxidase	76.7	57.7	54.5
MGA_13296	LOCUS_099020	sequence02787:63..1502(+)	partial			WP_011090853.1	DNA polymerase I	87.3	42.3	52.8
MGA_13301	LOCUS_099050	sequence02789:<1..955(+)	partial			WP_011038548.1	carboxy terminal-processing peptidase	61.2	27.5	40.0
MGA_13306	LOCUS_099080	sequence02790:699..1211(-)	partial			WP_011036057.1	glutamine--tRNA ligase/YqeY domain fusion protein	84.7	24.9	81.2
MGA_13315	LOCUS_099120	sequence02793:1482..1724(-)	partial			WP_011974924.1	phosphatidylserine decarboxylase	90.0	31.0	58.3
MGA_13323	LOCUS_099150	sequence02797:32..>1723(-)	partial			WP_011962455.1	T9SS-dependent M36 family metallopeptidase	37.8	24.2	40.3
MGA_13328	LOCUS_099180	sequence02800:<1..722(+)	partial			WP_013531785.1	amidase family protein	100.0	45.9	89.5
MGA_13331	LOCUS_099200	sequence02801:583..894(+)	partial			WP_011083408.1	transcription antitermination factor NusB	93.2	23.0	37.9
MGA_13341	LOCUS_099260	sequence02804:<1..1686(+)	partial			WP_011021009.1	catalase/peroxidase HPI	94.1	71.7	76.9
MGA_13342	LOCUS_099270	sequence02805:98..514(+)	partial			WP_013385638.1	TetR/AcrR family transcriptional regulator	92.0	66.5	35.1
MGA_13343	LOCUS_099280	sequence02805:511..927(+)	partial			WP_003095346.1	PaaI family thioesterase	88.4	68.2	51.6
MGA_13344	LOCUS_099290	sequence02805:924..1169(+)	partial			WP_226986861.1	YeiH family protein	53.1	11.5	51.2
MGA_13345	LOCUS_099300	sequence02805:1166..>1722(-)	partial			WP_038967232.1	threonine synthase	98.9	44.1	67.0
MGA_13362	LOCUS_099390	sequence02813:2..598(+)	partial			WP_011338106.1	FAD-binding oxidoreductase	93.4	40.4	35.5
MGA_13363	LOCUS_099400	sequence02813:606..>1720(-)	partial			WP_011035498.1	S9 family peptidase	95.4	50.8	48.0
MGA_13369	LOCUS_099430	sequence02815:804..1277(-)	partial			WP_011036471.1	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	90.4	32.4	71.0
MGA_13374	LOCUS_099450	sequence02817:332..718(-)	partial			WP_011388709.1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	93.8	25.4	48.8
MGA_13375	LOCUS_099460	sequence02817:715..>1719(-)	partial			WP_011089347.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	100.0	68.9	51.6
MGA_13378	LOCUS_099470	sequence02819:2..634(+)	internal_stop_codon	632..634(+)		WP_013531532.1	phosphoketolase family protein	99.5	26.2	66.7
MGA_13380	LOCUS_099490	sequence02819:1046..1657(+)	internal_stop_codon	941..943(+)		WP_010968357.1	phosphoketolase family protein	90.1	22.4	78.7
MGA_13381	LOCUS_099500	sequence02820:<1..518(+)	partial			WP_008760375.1	TonB-dependent receptor	92.4	15.9	30.6
MGA_13386	LOCUS_099520	sequence02822:665..1579(-)	internal_stop_codon	1649..1651(-)		WP_010969063.1	MFS transporter	95.1	54.4	49.5
MGA_13388	LOCUS_099540	sequence02823:915..>1717(-)	partial			WP_013531985.1	single-stranded-DNA-specific exonuclease RecJ	59.0	25.6	60.5
MGA_13391	LOCUS_099560	sequence02824:393..659(+)	partial			WP_011389703.1	LysR family transcriptional regulator	79.5	51.1	52.9
MGA_13403	LOCUS_099600	sequence02829:151..645(-)	internal_stop_codon	685..687(-)		WP_013531146.1	UbiA family prenyltransferase	90.2	31.0	79.1
MGA_13404	LOCUS_099610	sequence02829:685..>1716(-)	internal_stop_codon	685..687(-)		WP_013531146.1	UbiA family prenyltransferase	86.0	61.6	64.7
MGA_13406	LOCUS_099620	sequence02830:1072..1512(-)	internal_stop_codon	1072..1074(-)		WP_013385806.1	ATP-binding cassette domain-containing protein	96.6	49.8	44.0
MGA_13418	LOCUS_099660	sequence02836:342..>1714(-)	partial			WP_011141609.1	TonB-dependent receptor	98.2	58.2	26.4
MGA_13421	LOCUS_099690	sequence02837:1169..>1714(-)	partial			WP_013527932.1	DNA polymerase III subunit gamma/tau	98.9	28.1	52.0
MGA_13423	LOCUS_099700	sequence02838:101..1564(-)	partial			WP_011337401.1	penicillin-binding protein 2	89.9	70.5	42.9
MGA_13426	LOCUS_099710	sequence02839:500..>1713(-)	partial			WP_038967605.1	CHASE3 domain-containing protein	93.1	61.1	37.8
MGA_13433	LOCUS_099740	sequence02842:930..>1711(-)	partial			WP_010919698.1	ABC transporter permease	65.6	62.4	62.4
MGA_13443	LOCUS_099770	sequence02848:304..>1709(-)	partial			WP_011963281.1	M23 family metallopeptidase	90.1	74.4	24.5
MGA_13449	LOCUS_099780	sequence02852:974..1672(-)	partial			WP_004204805.1	chromosomal replication initiator protein DnaA	94.0	40.9	67.0
MGA_13458	LOCUS_099820	sequence02856:213..656(+)	partial			WP_011339554.1	selenide, water dikinase SelD	55.8	24.2	72.9
MGA_13468	LOCUS_099870	sequence02859:439..1251(+)	internal_stop_codon	1249..1251(+)		WP_008761719.1	peptidase U32 family protein	100.0	63.2	58.9
MGA_13469	LOCUS_099880	sequence02859:1312..1698(+)	internal_stop_codon	1249..1251(+)		WP_032555746.1	peptidase U32 family protein	96.1	29.3	45.5
MGA_13498	LOCUS_099990	sequence02871:272..>1702(-)	partial			WP_106726897.1	Ti-type conjugative transfer relaxase TraA	95.6	46.3	53.8
MGA_13501	LOCUS_100000	sequence02873:1..726(+)	partial			WP_010918774.1	M20/M25/M40 family metallo-hydrolase	82.6	42.1	48.2
MGA_13513	LOCUS_100030	sequence02880:<1..767(+)	partial			WP_003109118.1	flagellar basal-body MS-ring/collar protein FliF	96.5	47.8	31.2
MGA_13514	LOCUS_100040	sequence02880:760..1605(+)	internal_stop_codon	1603..1605(+)		WP_004197167.1	flagellar motor switch protein FliG	92.9	78.9	34.5
MGA_13526	LOCUS_100090	sequence02885:419..709(-)	partial			WP_011083541.1	undecaprenyl-diphosphate phosphatase	94.8	34.7	54.8
MGA_13527	LOCUS_100100	sequence02885:899..1690(+)	partial			WP_010921433.1	NAD(P)-dependent oxidoreductase	97.3	53.6	80.2
MGA_13535	LOCUS_100120	sequence02889:<1..629(+)	partial			WP_013530325.1	PLP-dependent aminotransferase family protein	93.8	42.3	72.8
MGA_13541	LOCUS_100150	sequence02892:<1..755(+)	partial			WP_011027372.1	LutB/LldF family L-lactate oxidation iron-sulfur protein	68.0	34.1	62.4
MGA_13542	LOCUS_100160	sequence02892:835..1509(+)	internal_stop_codon	1507..1509(+)		WP_011970307.1	site-specific DNA-methyltransferase	96.9	31.1	56.4
MGA_13559	LOCUS_100240	sequence02898:874..1509(-)	partial			WP_011337281.1	rhomboid family intramembrane serine protease	70.1	61.8	37.6
MGA_13563	LOCUS_100260	sequence02899:1169..1486(+)	partial			WP_013528301.1	Gfo/Idh/MocA family oxidoreductase	82.9	26.5	72.4
MGA_13565	LOCUS_100270	sequence02900:<1..650(+)	partial			WP_010919238.1	thiamine-phosphate kinase	88.8	55.1	37.9
MGA_13566	LOCUS_100280	sequence02900:835..1497(+)	partial			WP_013532237.1	sodium-translocating pyrophosphatase	64.5	19.9	59.2
MGA_13569	LOCUS_100290	sequence02901:317..1117(+)	partial			WP_063172581.1	bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada	44.0	31.6	66.7
MGA_13572	LOCUS_100300	sequence02902:344..667(-)	partial			WP_024265857.1	hypothetical protein	77.6	70.3	34.9
MGA_13584	LOCUS_100370	sequence02905:1003..>1695(-)	partial			WP_208635209.1	endosialidase catalytic beta-propeller domain-containing protein	68.3	47.2	36.5
MGA_13585	LOCUS_100380	sequence02906:141..938(+)	partial			WP_010876334.1	ABC transporter permease	91.7	65.1	29.0
MGA_13593	LOCUS_100410	sequence02909:905..1639(+)	partial			WP_173992601.1	glycine--tRNA ligase subunit alpha	87.7	66.6	75.7
MGA_13597	LOCUS_100440	sequence02911:<1..1448(+)	partial			WP_013532753.1	chromosome segregation protein SMC	91.5	38.3	38.7
MGA_13610	LOCUS_100510	sequence02917:970..>1692(-)	partial			WP_011037795.1	TonB-dependent receptor	70.8	20.6	43.0
MGA_13613	LOCUS_100520	sequence02919:<1..672(+)	partial			WP_112904003.1	AraC family transcriptional regulator	94.6	70.0	31.9
MGA_13614	LOCUS_100530	sequence02919:845..1054(-)	internal_stop_codon	845..847(-)		WP_057670999.1	DUF779 domain-containing protein	88.4	45.9	44.3
MGA_13615	LOCUS_100540	sequence02919:1140..1691(-)	partial			WP_011035359.1	aldehyde dehydrogenase family protein	98.4	35.4	69.4
MGA_13619	LOCUS_100560	sequence02922:133..1638(+)	internal_stop_codon	115..117(+)		WP_010918763.1	ATP-dependent chaperone ClpB	99.4	57.5	77.7
MGA_13620	LOCUS_100570	sequence02923:<1..737(+)	partial			WP_004188183.1	cytochrome ubiquinol oxidase subunit I	91.0	47.4	49.3
MGA_13623	LOCUS_100590	sequence02924:131..1396(+)	partial			WP_013530378.1	tyrosinase family protein	58.4	55.0	27.4
MGA_13626	LOCUS_100600	sequence02925:917..1132(+)	partial			WP_118839426.1	DUF2892 domain-containing protein	88.7	67.0	44.4
MGA_13627	LOCUS_100610	sequence02925:1253..1648(-)	partial			WP_011962858.1	D-alanine--D-alanine ligase	100.0	38.1	48.9
MGA_13642	LOCUS_100690	sequence02932:508..672(-)	internal_stop_codon	679..681(-),508..510(-)		WP_005787468.1	RelA/SpoT family protein	100.0	7.2	66.7
